,PP spectrum,
Raman shift [1/cm],Counts/sec,
2815.968,946.57397,
2815.004,902.40936,
2814.040,866.80627,
2813.075,840.49634,
2812.111,821.80103,
2811.147,805.01978,
2810.183,783.91718,
2809.218,756.66669,
2808.254,728.36511,
2807.290,706.25885,
2806.326,687.03644,
2805.361,668.64374,
2804.397,655.03644,
2803.433,639.38751,
2802.469,620.13019,
2801.504,605.03699,
2800.540,593.74689,
2799.576,579.24634,
2798.612,560.2099,
2797.648,545.85883,
2796.683,542.79999,
2795.719,541.60834,
2794.755,532.16925,
2793.791,521.375,
2792.826,516.62238,
2791.862,513.7146,
2790.898,508.97083,
2789.934,500.49115,
2788.969,488.8302,
2788.005,480.29895,
2787.041,477.61407,
2786.077,475.97083,
2785.113,471.30832,
2784.148,462.66614,
2783.184,447.19479,
2782.220,431.36459,
2781.256,428.60782,
2780.291,431.07916,
2779.327,427.1875,
2778.363,421,
2777.399,416.53958,
2776.434,411.68439,
2775.470,405.85782,
2774.506,402.99478,
2773.542,406.35312,
2772.577,411.20886,
2771.613,405.39532,
2770.649,392.49167,
2769.685,392.30313,
2768.721,397.23697,
2767.756,394.81509,
2766.792,390.67761,
2765.828,389.64532,
2764.864,394.66666,
2763.899,410.97083,
2762.935,430.88333,
2761.971,435.67917,
2761.007,430.67188,
2760.042,432.49582,
2759.078,437.23019,
2758.114,455.54218,
2757.150,481.14636,
2756.186,486.76614,
2755.221,485.16824,
2754.257,490.07916,
2753.293,500.07343,
2752.329,510.32968,
2751.364,521.22656,
2750.400,534.15887,
2749.436,546.38696,
2748.472,551.72656,
2747.507,550.763,
2746.543,557.72186,
2745.579,574.36823,
2744.615,587.91565,
2743.650,597.16248,
2742.686,608.23022,
2741.722,620.67133,
2740.758,629.51666,
2739.794,633.42969,
2738.829,641.12445,
2737.865,660.38593,
2736.901,683.80054,
2735.937,707.09583,
2734.972,737.42133,
2734.008,773.52502,
2733.044,796.87238,
2732.080,808.1297,
2731.115,825.48853,
2730.151,854.49323,
2729.187,883.38904,
2728.223,905.5979,
2727.259,930.7323,
2726.294,967.83594,
2725.330,1012.788,
2724.366,1062.6255,
2723.402,1116.8906,
2722.437,1175.4833,
2721.473,1228.2688,
2720.509,1270.6875,
2719.545,1296.5927,
2718.580,1297.1875,
2717.616,1274.7063,
2716.652,1233.1287,
2715.688,1177.5917,
2714.723,1115.3646,
2713.759,1048.5172,
2712.795,989.24323,
2711.831,933.66461,
2710.867,894.07605,
2709.902,865.73645,
2708.938,844.50677,
2707.974,828.21252,
2707.010,814.53961,
2706.045,801.138,
2705.081,781.8396,
2704.117,757.95471,
2703.153,730.59637,
2702.188,693.1698,
2701.224,657.55573,
2700.260,630.10522,
2699.296,596.91565,
2698.332,565.31305,
2697.367,547.41718,
2696.403,531.38226,
2695.439,510.42657,
2694.475,489.98489,
2693.510,472.05991,
2692.546,455.57394,
2691.582,447.23541,
2690.618,448.27655,
2689.653,451.46564,
2688.689,458.06668,
2687.725,450.54428,
2686.761,425.79584,
2685.796,414.62396,
2684.832,421.11874,
