,PVC Spectrum,
Raman shift [1/cm],Counts/sec,
2658.798,23.695113,
2657.834,24.350229,
2656.869,23.260813,
2655.905,19.208409,
2654.941,14.263721,
2653.977,16.008681,
2653.012,21.718631,
2652.048,22.185903,
2651.084,20.36143,
2650.120,16.963177,
2649.156,13.325909,
2648.191,13.55456,
2647.227,16.593758,
2646.263,17.370651,
2645.299,15.462974,
2644.334,15.145824,
2643.370,17.101623,
2642.406,17.911622,
2641.442,17.15746,
2640.477,17.068923,
2639.513,17.433756,
2638.549,15.898784,
2637.585,12.316742,
2636.620,9.8929508,
2635.656,9.9245367,
2634.692,11.361239,
2633.728,13.94594,
2632.764,15.98611,
2631.799,15.194247,
2630.835,13.2539,
2629.871,10.838014,
2628.907,9.228135,
2627.942,10.983422,
2626.978,13.546962,
2626.014,15.113822,
2625.050,15.48283,
2624.085,14.249787,
2623.121,12.665963,
2622.157,12.356602,
2621.193,12.732056,
2620.229,12.962783,
2619.264,13.476322,
2618.300,14.681268,
2617.336,15.928401,
2616.372,14.481052,
2615.407,11.863292,
2614.443,12.113892,
2613.479,13.950771,
2612.515,14.270414,
2611.550,13.34118,
2610.586,13.288509,
2609.622,14.003806,
2608.658,13.477893,
2607.693,11.588502,
2606.729,9.6660066,
2605.765,7.7825671,
2604.801,8.3365793,
2603.837,11.456998,
2602.872,12.800805,
2601.908,12.107112,
2600.944,11.236564,
2599.980,10.684081,
2599.015,10.822126,
2598.051,12.004069,
2597.087,11.852026,
2596.123,7.994124,
2595.158,4.5751552,
2594.194,5.8698158,
2593.230,7.7643789,
2592.266,7.2862369,
2591.302,6.0363175,
2590.337,4.596359,
2589.373,3.7730466,
2588.409,4.3436734,
2587.445,5.1864191,
2586.480,4.7455224,
2585.516,4.3788931,
2584.552,7.3098712,
2583.588,11.687431,
2582.623,10.060109,
2581.659,4.3733136,
2580.695,3.2724557,
2579.731,4.3344524,
2578.766,4.5331188,
2577.802,4.3658674,
2576.838,4.5313306,
2575.874,4.8602217,
2574.910,4.0577164,
2573.945,2.0949081,
2572.981,1.4298565,
2572.017,3.1434236,
2571.053,4.6733478,
2570.088,4.7757817,
2569.124,3.755553,
2568.160,1.5766815,
2567.196,0.81807433,
2566.231,2.4690869,
2565.267,4.046467,
2564.303,4.1080268,
2563.339,3.3847232,
2562.375,2.7206482,
2561.410,2.9237118,
2560.446,5.3123223,
2559.482,8.2633352,
2558.518,7.9187426,
2557.553,6.0665328,
2556.589,4.9707194,
2555.625,4.4822304,
2554.661,6.1746495,
2553.696,8.2006623,
2552.732,6.9006498,
2551.768,3.7750513,
2550.804,3.4320701,
2549.839,6.123415,
2548.875,8.3630509,
2547.911,8.9625501,
2546.947,7.101893,
2545.983,2.6406013,
2545.018,0.82769801,
2544.054,2.636137,
2543.090,3.7404745,
2542.126,3.549353,
2541.161,3.0051554,
2540.197,2.1591512,
2539.233,1.4908322,
2538.269,1.7601601,
2537.304,3.1339311,
2536.340,5.6959834,
2535.376,8.0997837,
2534.412,7.9661817,
2533.448,7.1898551,
2532.483,7.5126496,
2531.519,7.6410593,
2530.555,6.9196644,
2529.591,5.9845975,
2528.626,5.9281441,
2527.662,6.6483507,
2526.698,6.9640651,
2525.734,6.5443792,
2524.769,5.9368513,
2523.805,5.3208763,
2522.841,5.5464053,
2521.877,6.7783306,
2520.912,5.8195332,
2519.948,2.6313413,
2518.984,0.83592325,
2518.020,0.17932331,
2517.056,0.26505896,
2516.091,1.2456186,
2515.127,2.5535218,
2514.163,3.8929684,
2513.199,5.1707447,
2512.234,5.4878768,
2511.270,5.1505654,
2510.306,4.8270722,
2509.342,4.6400539,
2508.377,5.8716877,
2507.413,7.8053724,
2506.449,8.9886665,
2505.485,9.3324585,
2504.521,8.0905573,
2503.556,6.1691638,
2502.592,5.6113935,
2501.628,6.540537,
2500.664,7.973001,
2499.699,9.5255821,
2498.735,10.682167,
2497.771,11.287336,
2496.807,9.3497319,
2495.842,4.6743833,
2494.878,5.16715,
2493.914,10.947661,
2492.950,13.374314,
2491.985,10.459562,
2491.021,8.3522794,
2490.057,10.416921,
2489.093,12.199336,
2488.129,9.8262338,
2487.164,6.893854,
2486.200,7.1591305,
2485.236,8.1750905,
2484.272,7.4814315,
2483.307,6.6020302,
2482.343,6.647922,
2481.379,7.549966,
2480.415,11.034188,
2479.450,14.799709,
2478.486,13.382416,
2477.522,7.9327515,
2476.558,5.396856,
2475.594,7.000072,
2474.629,8.576579,
2473.665,9.343418,
2472.701,10.150735,
2471.737,10.78359,
2470.772,10.137245,
2469.808,8.247932,
2468.844,7.8350835,
2467.880,9.6782408,
2466.915,10.265881,
2465.951,7.428911,
2464.987,4.4805155,
2464.023,4.9081455,
2463.058,6.8019864,
2462.094,8.3877707,
2461.130,9.9803909,
2460.166,9.1344369,
2459.202,6.8933658,
2458.237,5.2045406,
2457.273,3.7352958,
2456.309,4.496373,
2455.345,6.8460732,
2454.380,8.4829317,
2453.416,8.7923,
2452.452,7.5795003,
2451.488,5.1470716,
2450.523,5.1029242,
2449.559,9.3063355,
2448.595,11.485186,
2447.631,7.8405506,
2446.667,5.9324383,
2445.702,9.6491797,
2444.738,13.070511,
2443.774,13.514107,
2442.810,13.179237,
2441.845,13.436994,
2440.881,13.628785,
2439.917,13.223358,
2438.953,12.888195,
2437.988,13.694731,
2437.024,15.349266,
2436.060,17.635929,
2435.096,20.545395,
2434.131,18.939773,
2433.167,13.866035,
2432.203,13.908119,
2431.239,18.788727,
2430.275,21.839941,
2429.310,21.408929,
2428.346,20.683434,
2427.382,20.737772,
2426.418,19.587668,
2425.453,15.96105,
2424.489,12.161629,
2423.525,11.053078,
2422.561,11.336176,
2421.596,12.554578,
2420.632,14.056426,
2419.668,14.976927,
2418.704,15.346843,
2417.740,14.496152,
2416.775,12.755521,
2415.811,10.771578,
2414.847,9.0163471,
2413.883,9.3186841,
2412.918,12.095045,
2411.954,13.397821,
2410.990,12.05885,
2410.026,11.229741,
2409.061,11.542332,
2408.097,11.200675,
2407.133,9.6385587,
2406.169,8.1211204,
2405.204,7.5139848,
2404.240,7.8054331,
2403.276,9.0375553,
2402.312,11.078955,
2401.348,13.374553,
2400.383,15.151061,
2399.419,13.402811,
2398.455,8.9692111,
2397.491,6.7661282,
2396.526,5.8593832,
2395.562,5.9345717,
2394.598,7.0478462,
2393.634,7.9958864,
2392.669,8.3743464,
2391.705,8.4394764,
2390.741,8.4750166,
2389.777,8.6767677,
2388.813,8.9583039,
2387.848,8.6537562,
2386.884,6.8686908,
2385.920,4.6775709,
2384.956,3.395533,
2383.991,2.8742859,
2383.027,4.0976189,
2382.063,5.4198779,
2381.099,4.5577617,
2380.134,3.1877357,
2379.170,4.7783536,
2378.206,8.7782982,
2377.242,10.926289,
2376.277,10.168666,
2375.313,9.5170475,
2374.349,9.8654294,
2373.385,9.7047782,
2372.421,8.3389511,
2371.456,6.7686319,
2370.492,5.7645235,
2369.528,5.1456204,
2368.564,4.6709067,
2367.599,4.974855,
2366.635,6.8750924,
2365.671,9.2367067,
2364.707,9.6181941,
2363.742,8.0912831,
2362.778,5.9827802,
2361.814,3.847178,
2360.850,4.3925814,
2359.885,7.3813441,
2358.921,9.2163959,
2357.957,9.8265943,
2356.993,9.0821539,
2356.029,7.3747742,
2355.064,7.6291619,
2354.100,11.060308,
2353.136,13.180369,
2352.172,9.9643468,
2351.207,5.4135101,
2350.243,3.4542261,
2349.279,2.5556841,
2348.315,5.8286753,
2347.350,11.000495,
2346.386,9.6641111,
2345.422,6.0078543,
2344.458,4.8890976,
2343.494,5.5441689,
2342.529,5.9054416,
2341.565,5.7944485,
2340.601,6.6777914,
2339.637,8.9181167,
2338.672,10.409956,
2337.708,9.4806521,
2336.744,8.0697078,
2335.780,7.5575429,
2334.815,7.0257003,
2333.851,6.4537208,
2332.887,5.9865753,
2331.923,5.3128381,
2330.958,4.9490131,
2329.994,5.9061842,
2329.030,7.6649665,
2328.066,8.7778016,
2327.102,9.173205,
2326.137,9.9506396,
2325.173,11.166111,
2324.209,11.250626,
2323.245,9.5601897,
2322.280,7.0772728,
2321.316,4.0163286,
2320.352,1.4070445,
2319.388,0.061871978,
2318.423,0,
2317.459,1.400522,
2316.495,3.1250309,
2315.531,3.8344026,
2314.567,4.0391848,
2313.602,4.0452856,
2312.638,3.6127138,
2311.674,4.1220371,
2310.710,5.7030888,
2309.745,7.6423925,
2308.781,10.673493,
2307.817,11.237504,
2306.853,7.536573,
2305.888,5.1152321,
2304.924,7.2288522,
2303.960,9.5224527,
2302.996,7.9414927,
2302.031,5.4462748,
2301.067,6.1920726,
2300.103,8.2310833,
2299.139,8.5975842,
2298.175,8.5246808,
2297.210,6.8049512,
2296.246,3.3375165,
2295.282,3.2577285,
2294.318,5.6859482,
2293.353,7.3963455,
2292.389,8.1497605,
2291.425,8.4900895,
2290.461,8.3413561,
2289.496,7.7769488,
2288.532,6.7457446,
2287.568,5.6571185,
2286.604,6.5397816,
2285.640,7.9219563,
2284.675,5.4651662,
2283.711,1.4960716,
2282.747,2.7228347,
2281.783,6.5669318,
2280.818,6.7173767,
2279.854,3.4187984,
2278.890,2.1796925,
2277.926,4.8523052,
2276.961,7.404459,
2275.997,7.1718961,
2275.033,5.9767843,
2274.069,4.7640456,
2273.104,4.1142952,
2272.140,6.2919373,
2271.176,9.0363275,
2270.212,8.0461962,
2269.248,5.8975688,
2268.283,5.9461583,
2267.319,7.6343472,
2266.355,9.4144796,
2265.391,10.634651,
2264.426,10.307752,
2263.462,8.0074646,
2262.498,5.9250482,
2261.534,5.659038,
2260.569,5.8458597,
2259.605,5.6974277,
2258.641,5.8255093,
2257.677,7.3362081,
2256.713,9.0486646,
2255.748,8.6657112,
2254.784,7.1395447,
2253.820,6.3903313,
2252.856,6.564409,
2251.891,7.2180766,
2250.927,8.2847324,
2249.963,9.1602261,
2248.999,9.265798,
2248.034,8.2367506,
