,HDPE spectra,
Raman shift [1/cm],Counts/sec,
2642.832,59.891103,
2641.867,60.038886,
2640.903,56.566428,
2639.939,51.677838,
2638.975,49.467886,
2638.010,49.263866,
2637.046,48.804252,
2636.082,48.437024,
2635.118,47.9286,
2634.154,46.973675,
2633.189,45.508006,
2632.225,43.998304,
2631.261,43.709132,
2630.297,44.175554,
2629.332,43.59342,
2628.368,42.282445,
2627.404,42.622248,
2626.440,44.335778,
2625.475,43.982715,
2624.511,41.369247,
2623.547,39.482992,
2622.583,38.30144,
2621.619,39.200197,
2620.654,42.475986,
2619.690,43.080922,
2618.726,40.836744,
2617.762,40.116656,
2616.797,42.092513,
2615.833,44.079468,
2614.869,44.83413,
2613.905,45.434651,
2612.940,46.3642,
2611.976,47.40158,
2611.012,48.77706,
2610.048,49.54462,
2609.083,48.868854,
2608.119,47.927512,
2607.155,46.959058,
2606.191,45.973772,
2605.227,45.439169,
2604.262,45.624874,
2603.298,46.823764,
2602.334,48.691288,
2601.370,49.690545,
2600.405,49.100124,
2599.441,45.727127,
2598.477,41.599248,
2597.513,43.25035,
2596.548,46.952568,
2595.584,47.556716,
2594.620,46.360984,
2593.656,45.050502,
2592.692,44.049222,
2591.727,43.256483,
2590.763,42.821054,
2589.799,44.02212,
2588.835,47.141877,
2587.870,49.367337,
2586.906,49.97584,
2585.942,48.621212,
2584.978,45.063413,
2584.013,44.231852,
2583.049,46.725002,
2582.085,48.575986,
2581.121,48.40299,
2580.156,46.625106,
2579.192,43.200842,
2578.228,39.176216,
2577.264,36.005232,
2576.300,34.224859,
2575.335,35.163366,
2574.371,36.022836,
2573.407,32.952954,
2572.443,29.387222,
2571.478,28.38644,
2570.514,28.438982,
2569.550,28.422926,
2568.586,27.94107,
2567.621,26.488395,
2566.657,24.183075,
2565.693,21.51796,
2564.729,19.239418,
2563.765,20.074216,
2562.800,23.334031,
2561.836,23.016038,
2560.872,19.717884,
2559.908,19.402567,
2558.943,21.248631,
2557.979,21.513932,
2557.015,20.567828,
2556.051,19.811454,
2555.086,19.042463,
2554.122,17.577578,
2553.158,15.802968,
2552.194,15.436149,
2551.229,17.438999,
2550.265,19.362976,
2549.301,19.56199,
2548.337,19.339188,
2547.373,19.772494,
2546.408,20.30964,
2545.444,19.98206,
2544.480,19.086794,
2543.516,18.399532,
2542.551,17.800669,
2541.587,16.895292,
2540.623,16.357182,
2539.659,17.490343,
2538.694,19.572207,
2537.730,19.910844,
2536.766,19.005034,
2535.802,20.461118,
2534.838,22.662252,
