,Nylon 66 Spectrum,
Raman shift [1/cm],Counts/sec,
2652.048,67.798682,
2651.084,67.388991,
2650.120,70.313658,
2649.156,74.311765,
2648.191,71.527783,
2647.227,63.840145,
2646.263,61.130777,
2645.299,64.669307,
2644.334,67.326336,
2643.370,67.898847,
2642.406,69.635359,
2641.442,72.866488,
2640.478,73.381399,
2639.513,70.688844,
2638.549,66.529928,
2637.585,61.089807,
2636.621,58.952805,
2635.656,62.006198,
2634.692,64.39514,
2633.728,63.355813,
2632.764,62.830402,
2631.799,64.642005,
2630.835,66.70321,
2629.871,67.608265,
2628.907,65.802238,
2627.942,59.815111,
2626.978,56.231428,
2626.014,59.474955,
2625.050,63.428496,
2624.086,63.297419,
2623.121,61.268927,
2622.157,59.944102,
2621.193,59.753456,
2620.229,62.468906,
2619.264,67.000427,
2618.300,69.090542,
2617.336,69.828751,
2616.372,68.40846,
2615.407,65.331681,
2614.443,63.189565,
2613.479,62.239595,
2612.515,63.253584,
2611.551,65.273333,
2610.586,65.53205,
2609.622,64.063815,
2608.658,64.4822,
2607.694,67.403224,
2606.729,68.834648,
2605.765,68.014355,
2604.801,69.004082,
2603.837,71.966603,
2602.872,74.081086,
2601.908,75.262601,
2600.944,76.110094,
2599.980,76.689268,
2599.015,76.141199,
2598.051,74.01998,
2597.087,71.347354,
2596.123,69.03131,
2595.159,67.988857,
2594.194,70.196403,
2593.230,72.806682,
2592.266,73.130242,
2591.302,72.007565,
2590.337,69.310174,
2589.373,65.947209,
2588.409,62.582495,
2587.445,59.982605,
2586.480,59.493786,
2585.516,59.90673,
2584.552,58.044188,
2583.588,54.554685,
2582.624,51.645876,
2581.659,48.986055,
2580.695,47.09961,
2579.731,45.964503,
2578.767,47.036276,
2577.802,49.15058,
2576.838,47.232215,
2575.874,41.843833,
2574.910,38.540133,
2573.945,38.818255,
2572.981,38.909853,
2572.017,37.582211,
2571.053,36.621651,
2570.088,36.364364,
2569.124,35.184743,
2568.160,32.596545,
2567.196,30.752891,
2566.232,30.334699,
2565.267,30.984179,
2564.303,32.507296,
2563.339,33.698278,
2562.375,33.605133,
2561.410,34.446361,
2560.446,39.43603,
2559.482,45.172083,
2558.518,43.456136,
2557.553,38.133645,
2556.589,32.787567,
2555.625,28.021522,
2554.661,30.310687,
2553.697,36.425975,
2552.732,41.971533,
2551.768,45.733748,
2550.804,45.412268,
2549.840,41.267008,
2548.875,37.218085,
2547.911,34.222925,
2546.947,32.110966,
2545.983,31.02557,
2545.018,30.402821,
2544.054,30.487152,
2543.090,30.72451,
2542.126,30.896097,
2541.161,33.059919,
2540.197,37.79376,
2539.233,38.758951,
2538.269,31.311691,
2537.305,24.121656,
2536.340,26.125983,
2535.376,30.204626,
2534.412,30.606366,
2533.448,30.097655,
2532.483,28.661408,
2531.519,27.013147,
2530.555,27.509417,
2529.591,27.698168,
2528.626,24.225444,
2527.662,19.438561,
2526.698,17.518756,
2525.734,18.517663,
2524.770,21.087516,
2523.805,24.157565,
2522.841,23.68484,
2521.877,19.747273,
2520.913,17.724206,
2519.948,17.79742,
2518.984,18.490521,
2518.020,19.487772,
2517.056,20.093373,
2516.091,20.288036,
2515.127,19.347055,
2514.163,16.793525,
2513.199,15.849833,
2512.234,19.375376,
2511.270,23.358389,
2510.306,23.896139,
2509.342,22.846976,
2508.378,20.609091,
2507.413,18.317642,
2506.449,17.759006,
2505.485,17.592215,
2504.521,16.623178,
2503.556,15.397549,
2502.592,15.240938,
2501.628,15.914033,
2500.664,15.930341,
2499.699,15.32907,
2498.735,16.037374,
2497.771,18.048998,
2496.807,16.834059,
2495.842,12.069609,
2494.878,9.6612257,
2493.914,9.693606,
2492.950,8.6884911,
2491.986,5.8864372,
2491.021,4.6020103,
2490.057,6.8087916,
2489.093,10.207467,
2488.129,12.784171,
2487.164,14.452085,
2486.200,13.212284,
2485.236,10.263938,
2484.272,6.1427411,
2483.307,2.5314075,
2482.343,5.1149712,
2481.379,9.81167,
2480.415,12.269355,
2479.451,13.148329,
2478.486,13.42159,
2477.522,13.517801,
2476.558,14.494187,
2475.594,16.231902,
2474.629,16.11361,
2473.665,13.895172,
2472.701,14.853834,
2471.737,19.95649,
2470.772,21.083364,
2469.808,17.153061,
2468.844,15.015971,
2467.880,16.584545,
2466.915,18.115081,
2465.951,17.500989,
2464.987,15.311799,
2464.023,11.28882,
2463.059,7.3552943,
2462.094,9.029581,
2461.130,13.640879,
2460.166,16.782158,
2459.202,19.301123,
2458.237,14.028486,
2457.273,5.5865611,
2456.309,4.6598712,
2455.345,8.8407497,
2454.380,11.085153,
2453.416,10.515055,
2452.452,10.003112,
2451.488,10.373785,
2450.524,11.618628,
2449.559,14.059126,
2448.595,16.954311,
2447.631,19.712338,
2446.667,20.57559,
2445.702,18.219163,
2444.738,16.220012,
2443.774,16.931066,
2442.810,17.32176,
2441.845,14.341652,
2440.881,11.698018,
2439.917,15.651602,
2438.953,23.203818,
2437.988,25.955058,
2437.024,25.382469,
2436.060,27.519354,
2435.096,31.530995,
2434.132,32.726668,
2433.167,31.979227,
2432.203,30.14238,
2431.239,27.226187,
2430.275,25.493638,
2429.310,25.629741,
2428.346,27.24265,
2427.382,30.235054,
2426.418,32.105824,
2425.453,29.832747,
2424.489,26.176078,
2423.525,23.180295,
2422.561,21.050237,
2421.597,22.20382,
2420.632,23.029523,
2419.668,18.606983,
2418.704,12.681465,
2417.740,11.187881,
2416.775,12.981357,
2415.811,13.09036,
2414.847,11.28076,
2413.883,12.139959,
2412.918,16.606873,
2411.954,20.078962,
2410.990,21.2011,
2410.026,20.573092,
2409.061,17.95109,
2408.097,17.558628,
2407.133,20.982329,
2406.169,22.417797,
2405.205,18.553315,
2404.240,13.578675,
2403.276,11.81761,
2402.312,12.214993,
2401.348,13.451779,
2400.383,15.226701,
2399.419,16.296349,
2398.455,16.754424,
2397.491,15.764795,
2396.526,13.92331,
2395.562,13.688857,
2394.598,14.625008,
2393.634,11.934647,
2392.670,5.1495587,
2391.705,0.17330842,
2390.741,0,
2389.777,1.8438264,
2388.813,4.3731997,
2387.848,6.8030609,
2386.884,6.8170045,
2385.920,6.2365145,
2384.956,6.5928407,
2383.991,7.4363253,
2383.027,9.2332278,
2382.063,10.642484,
2381.099,9.676398,
2380.134,7.1837497,
2379.170,4.6117069,
2378.206,2.687125,
2377.242,2.9806098,
2376.278,5.9188207,
2375.313,8.5598639,
2374.349,9.7163855,
2373.385,10.182966,
2372.421,9.7116553,
2371.456,7.5695929,
2370.492,3.7243079,
2369.528,1.64289,
2368.564,3.5062476,
2367.599,6.8464608,
2366.635,9.2144082,
2365.671,10.351301,
2364.707,9.464805,
2363.743,6.9495981,
2362.778,5.2366375,
2361.814,4.5434032,
2360.850,5.4453838,
2359.886,7.9043468,
2358.921,11.328984,
2357.957,15.404109,
2356.993,15.566978,
2356.029,11.497279,
2355.064,8.9312421,
2354.100,10.411738,
2353.136,10.656785,
2352.172,5.3117933,
2351.207,0.2195359,
2350.243,4.4215568,
2349.279,11.900238,
2348.315,12.745912,
2347.351,10.696712,
2346.386,6.5444368,
2345.422,1.1240462,
2344.458,0.22704383,
2343.494,2.8581016,
2342.529,5.8842151,
2341.565,8.5846941,
2340.601,11.010124,
2339.637,12.434138,
2338.672,12.149607,
2337.708,9.3247934,
2336.744,6.4949989,
2335.780,6.6451849,
2334.816,7.5707126,
2333.851,8.191504,
2332.887,9.7558014,
2331.923,13.236602,
2330.959,16.209152,
2329.994,13.853479,
2329.030,8.8682151,
2328.066,10.58969,
2327.102,19.18055,
2326.137,22.553246,
2325.173,16.987758,
2324.209,12.642631,
2323.245,13.278559,
2322.280,13.593589,
2321.316,11.865992,
2320.352,10.655533,
2319.388,11.039655,
2318.424,12.018894,
2317.459,12.812243,
2316.495,12.587625,
2315.531,10.486541,
2314.567,8.1198814,
2313.602,8.6607901,
2312.638,10.984853,
2311.674,10.15706,
2310.710,6.2331741,
2309.745,6.2555279,
2308.781,11.243849,
2307.817,13.659953,
2306.853,11.292219,
2305.889,9.3139379,
2304.924,10.588147,
2303.960,12.401224,
2302.996,12.291888,
2302.032,11.080258,
2301.067,9.31394,
2300.103,7.3495752,
2299.139,8.6641654,
2298.175,12.65234,
2297.210,12.548522,
2296.246,9.4649674,
2295.282,8.4043136,
2294.318,8.5590893,
2293.353,7.2375468,
2292.389,4.2678598,
2291.425,3.7032021,
2290.461,7.9578312,
2289.497,11.902011,
2288.532,9.4878418,
2287.568,5.4028714,
2286.604,6.88587,
2285.640,9.9166712,
2284.675,7.5463982,
2283.711,3.180378,
2282.747,4.9535548,
2281.783,9.8824447,
2280.818,11.950885,
2279.854,11.161025,
2278.890,10.279319,
2277.926,10.157574,
2276.962,9.5722062,
2275.997,7.8551975,
2275.033,6.3008841,
2274.069,6.7705454,
2273.105,7.9257536,
2272.140,7.7779344,
2271.176,7.4485723,
2270.212,9.26213,
2269.248,11.709037,
2268.283,11.20531,
2267.319,8.3422563,
2266.355,5.111234,
2265.391,2.450524,
2264.426,2.7067579,
2263.462,7.4318878,
2262.498,12.347887,
2261.534,13.748212,
2260.570,13.010891,
2259.605,9.1400251,
2258.641,5.3132021,
2257.677,7.7346211,
2256.713,11.746128,
2255.748,12.303045,
2254.784,10.315333,
2253.820,6.8395356,
2252.856,3.1285815,
2251.891,2.9065925,
2250.927,7.1023769,
2249.963,10.381609,
2248.999,10.034131,
2248.035,9.7263998,
2247.070,11.328776,
2246.106,13.840429,
2245.142,17.029524,
2244.178,19.017594,
2243.213,17.385057,
2242.249,14.847053,
2241.285,14.922232,
2240.321,16.279149,
2239.356,15.295051,
2238.392,12.172524,
2237.428,10.739158,
2236.464,12.041046,
2235.499,12.911098,
2234.535,12.018357,
2233.571,10.914727,
2232.607,10.088881,
2231.643,9.1779266,
2230.678,8.1170702,
2229.714,7.4633917,
2228.750,8.1695276,
2227.786,9.9193158,
2226.821,11.546057,
2225.857,12.281392,
