,PET spectra,
Raman shift [1/cm],Counts/sec,
2299.139,-9.0130205,
2298.175,-19.827084,
2297.210,-12.085807,
2296.246,8.1804686,
2295.282,10.310938,
2294.318,-2.7536459,
2293.353,-9.9489584,
2292.389,-6.4484377,
2291.425,-3.0945313,
2290.461,-5.5035157,
2289.497,-7.773828,
2288.532,-5.4822917,
2287.568,-2.7359376,
2286.604,-4.3635416,
2285.640,-7.6535158,
2284.675,-6.0300779,
2283.711,-1.2798177,
2282.747,0.16054687,
2281.783,-0.0067708334,
2280.818,0.80143231,
2279.854,2.1884115,
2278.890,4.3208332,
2277.926,7.5709634,
2276.962,8.0158854,
2275.997,1.5981771,
2275.033,-5.6464844,
2274.069,-6.0678387,
2273.105,-4.2565103,
2272.140,-5.6776042,
2271.176,-8.942318,
2270.212,-13.436588,
2269.248,-17.389193,
2268.283,-15.514713,
2267.319,-9.6751299,
2266.355,-5.9907551,
2265.391,-5.9574218,
2264.426,-6.7147136,
2263.462,-6.809505,
2262.498,-7.5632811,
2261.534,-10.346094,
2260.570,-12.586458,
2259.605,-11.538671,
2258.641,-10.876953,
2257.677,-13.278776,
2256.713,-14.097526,
2255.748,-8.2678385,
2254.784,0.23164062,
2253.820,3.3136718,
2252.856,0.77460939,
2251.891,-1.4385417,
2250.927,-1.5126302,
2249.963,-2.6226563,
2248.999,-5.6182294,
2248.035,-5.9838543,
2247.070,0.053255208,
2246.106,5.2932291,
2245.142,2.4696615,
2244.178,-2.1247396,
2243.213,-2.9334636,
2242.249,-1.2997396,
2241.285,0.46653646,
2240.321,1.3173177,
2239.356,1.4053385,
2238.392,0.92343748,
2237.428,-1.43125,
2236.464,-6.2363281,
2235.499,-10.624609,
2234.535,-12.930079,
2233.571,-11.502734,
2232.607,-4.5005207,
